Timestamp,What is your age?,"
What is your gender ?",What is your education level ?,How many hours per day do you spend on social media?,Which social media platforms do you use the most? (Select all that apply),How often do you feel stressed or overwhelmed by content on social media?,How many hours of sleep do you typically get on a weeknight?,Do you use social media within an hour before going to bed?,How often do you experience difficulty falling asleep due to social media use?,"On a scale of 1-5, how would you rate the quality of your sleep?","On a scale of 1-5, how much do you agree with the following statement: ""Social media negatively impacts my mental health.""?",Which of the following mental health issues do you think are exacerbated by your social media use? (Select all that apply),"What changes, if any, have you made to your social media habits to improve your mental health or sleep quality?","In your own words, describe any positive or negative impacts that social media has had on your mental health."
5/18/2024 1:18:55,18-20,Female,Undergraduate,8 hours or above,"Instagram, Twitter, Whatsapp",Sometimes,6-7 hours,Always,Sometimes,3 (Average),3 (Neutral),Stress,not made any changes,
5/18/2024 2:00:33,21-23,Male,Undergraduate,2-4 hours,"Instagram, Whatsapp, Youtube",Sometimes,Less than 5 hours,Always,Sometimes,3 (Average),5 (Strongly Agree),"Anxiety, Depression, Stress, Loneliness, Low self-esteem",Not made any changes,
5/18/2024 2:01:27,21-23,Female,Undergraduate,2-4 hours,"Instagram, Whatsapp, Snapchat, Youtube",Sometimes,5-6 hours,Always,Sometimes,5 (Excellent),2 (Disagree),None,Not made any changes,Made me more aware about mental health and new studies. Keeps me updated which makes me feel confident and knowledgeable which eventually keeps me happy but at times when I read comments or see shitass trends or humour that are utterly disgusting it kinda makes me sad. Basically it plays with human emotions and regulations one moment you are crying watching a puppy video next moment you are laughing watching some blooper scenes.
5/18/2024 2:06:28,18-20,Male,Undergraduate,4-6 hours,"Instagram, Youtube",Often,6-7 hours,Always,Often,3 (Average),4 (Agree),"Anxiety, Stress, Low self-esteem","Reduced overall usage, Avoided social media before bed",
5/18/2024 2:10:28,27-29,Male,Postgraduate,4-6 hours,"Instagram, Twitter, Whatsapp, Snapchat, Youtube, LinkedIn",Rarely,7-8 hours,Always,Sometimes,4 (Good),3 (Neutral),Depression,Not made any changes,
5/18/2024 2:16:43,18-20,Female,Undergraduate,4-6 hours,"Instagram, Whatsapp, Snapchat, Youtube",Never,7-8 hours,Often,Never,2 (Poor),4 (Agree),"Anxiety, Stress, Low self-esteem","Reduced overall usage, Avoided social media before bed, Used apps to limit usage",
5/18/2024 2:35:07,21-23,Male,Undergraduate,1-2 hours,"Instagram, Whatsapp, Other (please specify)",Rarely,6-7 hours,Rarely,Never,4 (Good),3 (Neutral),Loneliness,Used apps to limit usage,
5/18/2024 3:12:39,18-20,Male,Undergraduate,2-4 hours,"Instagram, Whatsapp, Snapchat",Rarely,6-7 hours,Always,Often,3 (Average),5 (Strongly Agree),"Anxiety, Depression, Stress, Loneliness, Low self-esteem",Reduced overall usage,
5/18/2024 3:35:30,21-23,Female,Undergraduate,6-8 hours,Instagram,Sometimes,7-8 hours,Always,Rarely,4 (Good),4 (Agree),"Anxiety, Depression, Stress, Low self-esteem",Used apps to limit usage,
5/18/2024 5:39:17,21-23,Male,Graduate,2-4 hours,"Instagram, Whatsapp, Snapchat, Youtube",Sometimes,5-6 hours,Always,Always,4 (Good),3 (Neutral),"Stress, Loneliness",Set specific times for social media use,
5/18/2024 7:54:59,18-20,Male,Graduate,1-2 hours,"Whatsapp, LinkedIn",Rarely,6-7 hours,Often,Rarely,4 (Good),3 (Neutral),None,Reduced overall usage,
5/18/2024 7:57:26,21-23,Female,Undergraduate,1-2 hours,Other (please specify),Sometimes,5-6 hours,Rarely,Never,4 (Good),3 (Neutral),"Stress, Loneliness, Low self-esteem",Reduced overall usage,
5/18/2024 8:16:21,21-23,Male,Graduate,2-4 hours,Instagram,Sometimes,5-6 hours,Always,Always,2 (Poor),4 (Agree),"Anxiety, Stress, Loneliness, Low self-esteem",Set specific times for social media use,
5/18/2024 9:00:00,21-23,Male,Undergraduate,4-6 hours,"Instagram, Twitter",Rarely,6-7 hours,Always,Rarely,4 (Good),3 (Neutral),None,Not made any changes,It all depends on what type of content you consume. If you consume pathetic content you'll be pathetic. 
